Price,Date,Closing_Price,Log_Return
0,2020-01-02,121.02313232421875,-0.0040183940762280775
1,2020-01-03,121.453125,0.003546682312441354
2,2020-01-06,117.92732238769531,-0.029459863125261006
3,2020-01-07,117.92732238769531,0.0
4,2020-01-08,114.77420043945312,-0.027101798964450113
5,2020-01-09,113.51293182373047,-0.0110499565767248
6,2020-01-10,117.69799041748047,0.036205173148140465
7,2020-01-13,121.2811279296875,0.029989281710365877
8,2020-01-14,122.08373260498047,0.006595920079682947
9,2020-01-15,121.79708099365234,-0.002350752723039938
10,2020-01-16,120.53581237792969,-0.010409482486082566
11,2020-01-17,119.18856811523438,-0.011240061974651803
12,2020-01-20,115.31880950927734,-0.03300629560896031
13,2020-01-21,115.89208984375,0.004958948828790833
14,2020-01-22,110.01581573486328,-0.05203536331336144
15,2020-01-23,109.35650634765625,-0.006010889305095873
16,2020-01-24,111.19109344482422,0.01663703812816718
17,2020-01-27,110.84709167480469,-0.0030985845526588997
18,2020-01-28,108.43923950195312,-0.02196168760632289
19,2020-01-29,109.52850341796875,0.00999480904088263
20,2020-01-30,107.75126647949219,-0.016359337785189686
21,2020-01-31,104.16818237304688,-0.03381875160104322
22,2020-02-03,102.41960906982422,-0.016928542088618513
23,2020-02-04,104.62682342529297,0.02132176776139164
24,2020-02-05,102.76360321044922,-0.017968720900553053
25,2020-02-06,103.16490936279297,0.0038975337153791135
26,2020-02-07,106.08870697021484,0.02794683267971237
27,2020-02-10,102.53430938720703,-0.034078134051893444
28,2020-02-11,102.8209457397461,0.0027916162993848006
29,2020-02-12,103.36557006835938,0.005282843963998147
30,2020-02-13,101.93231964111328,-0.013962868443929374
31,2020-02-14,100.18376922607422,-0.017302868360344666
32,2020-02-17,96.22802734375,-0.04028553198955139
33,2020-02-18,98.52120971679688,0.023551192303865646
34,2020-02-19,101.90363311767578,0.033755741275928154
35,2020-02-20,102.8209457397461,0.00896149125003359
36,2020-02-24,100.2410888671875,-0.025410911468091553
37,2020-02-25,100.38442993164062,0.0014289417388345285
38,2020-02-26,99.6391372680664,-0.007452083002685795
39,2020-02-27,99.8111343383789,0.001724711744564867
40,2020-02-28,96.5433120727539,-0.033288006190701686
41,2020-03-02,97.08797454833984,0.005625784155152585
42,2020-03-03,102.1616439819336,0.050938782246422405
43,2020-03-04,102.10432434082031,-0.0005612255735838855
44,2020-03-05,101.55967712402344,-0.0053485005818199914
45,2020-03-06,96.7439956665039,-0.04857830797709109
46,2020-03-09,90.5523681640625,-0.06613993259263248
47,2020-03-11,96.3139877319336,0.06168522278880995
48,2020-03-12,88.60313415527344,-0.0834463286873146
49,2020-03-13,88.34518432617188,-0.002915540696151526
50,2020-03-16,82.49752807617188,-0.06848336032357345
51,2020-03-17,83.64413452148438,0.013802975506795009
52,2020-03-18,83.15682220458984,-0.005843056453815345
53,2020-03-19,77.21926879882812,-0.07407922750504209
54,2020-03-20,83.00056457519531,0.07219838815763699
55,2020-03-23,79.90679931640625,-0.03798646290527393
56,2020-03-24,79.90679931640625,0.0
57,2020-03-25,77.81304931640625,-0.02655180085691614
58,2020-03-26,77.03177642822266,-0.010091128511704935
59,2020-03-27,82.31307220458984,0.06631191348131106
60,2020-03-30,83.21932220458984,0.010949627808353733
61,2020-03-31,87.53186798095703,0.05052337365347733
62,2020-04-01,87.15684509277344,-0.00429361986494689
63,2020-04-03,86.09435272216797,-0.012265493160114275
64,2020-04-07,87.59436798095703,0.017272883892232516
65,2020-04-08,85.8443374633789,-0.02018107674550695
66,2020-04-09,88.0006103515625,0.02480812359220218
67,2020-04-13,91.1881332397461,0.03558102036160209
68,2020-04-15,91.7818832397461,0.006490157191776765
69,2020-04-16,92.12562561035156,0.0037382135514699914
70,2020-04-17,92.96940612792969,0.009117331293390873
71,2020-04-20,90.1256103515625,-0.031066104805336354
72,2020-04-21,86.8756103515625,-0.03672703837049437
73,2020-04-22,87.93809509277344,0.012155772586084485
74,2020-04-23,88.0631103515625,0.0014206184497256007
75,2020-04-24,85.62560272216797,-0.028069384876955244
76,2020-04-27,86.3131103515625,0.007997166911521518
77,2020-04-28,84.6255874633789,-0.019744829391641273
78,2020-04-29,87.40684509277344,0.032336925565482164
79,2020-04-30,92.81314086914062,0.06001463522656294
80,2020-05-04,88.93811798095703,-0.04264740964880929
81,2020-05-05,86.2506103515625,-0.03068369188545827
82,2020-05-06,83.59432983398438,-0.0312814395881858
83,2020-05-07,81.75057220458984,-0.022302883640709037
84,2020-05-08,80.62555694580078,-0.01385712625041998
85,2020-05-11,80.28180694580078,-0.004272651227781126
86,2020-05-12,79.28179931640625,-0.012534446238474132
87,2020-05-13,81.6255874633789,0.02913419919110036
88,2020-05-14,80.40679931640625,-0.015044043450600663
